"time","toy","dow","holy","tod","temp","dateTime","dem","dem48","temp95"
59,0,"Sun",FALSE,10,2,2010-01-03 04:00:00,609.133,568.755,2.76961311355143
60,0,"Sun",FALSE,11,2,2010-01-03 04:30:00,598.353,588.326,2.73113245787386
61,0,"Sun",FALSE,12,2,2010-01-03 05:00:00,590.021,603.918,2.69457583498016
62,0,"Sun",FALSE,13,2,2010-01-03 05:30:00,611.237,638.54,2.65984704323116
63,0,"Sun",FALSE,14,2,2010-01-03 06:00:00,650.499,698.007,2.6268546910696
64,0,"Sun",FALSE,15,2,2010-01-03 06:30:00,701.598,779.421,2.59551195651612
65,0,"Sun",FALSE,16,2,2010-01-03 07:00:00,803.263,920.265,2.56573635869031
66,0,"Sun",FALSE,17,2,2010-01-03 07:30:00,910.567,1052.636,2.5374495407558
67,0,"Sun",FALSE,18,2,2010-01-03 08:00:00,1063,1197.845,2.51057706371801
68,0,"Sun",FALSE,19,2,2010-01-03 08:30:00,1276.174,1400.257,2.48504821053211
69,0,"Sun",FALSE,20,2,2010-01-03 09:00:00,1536.276,1547.128,2.4607958000055
70,0,"Sun",FALSE,21,2,2010-01-03 09:30:00,1722.058,1743.448,2.43775601000523
71,0,"Sun",FALSE,22,2,2010-01-03 10:00:00,1909.141,1980.052,2.41586820950496
72,0,"Sun",FALSE,23,2,2010-01-03 10:30:00,2072.084,2045.359,2.39507479902972
73,0,"Sun",FALSE,24,2,2010-01-03 11:00:00,2111.665,2102.344,2.37532105907823
74,0,"Sun",FALSE,25,2,2010-01-03 11:30:00,2318.404,2199.579,2.35655500612432
75,0,"Sun",FALSE,26,3,2010-01-03 12:00:00,2462.652,2195.749,2.3887272558181
76,0,"Sun",FALSE,27,2,2010-01-03 12:30:00,2468.534,2250.153,2.3692908930272
77,0,"Sun",FALSE,28,2,2010-01-03 13:00:00,2428.025,2240.812,2.35082634837584
78,0,"Sun",FALSE,29,2,2010-01-03 13:30:00,2293.181,2137.764,2.33328503095705
79,0,"Sun",FALSE,30,2,2010-01-03 14:00:00,2164.67,2189.979,2.31662077940919
80,0,"Sun",FALSE,31,2,2010-01-03 14:30:00,2150.927,2267.331,2.30078974043873
81,0,"Sun",FALSE,32,2,2010-01-03 15:00:00,2161.753,2352.031,2.2857502534168
82,0,"Sun",FALSE,33,1,2010-01-03 15:30:00,2319.104,2490.92,2.22146274074596
83,0,"Sun",FALSE,34,0,2010-01-03 16:00:00,2541.746,2766.708,2.11038960370866
84,0,"Sun",FALSE,35,0,2010-01-03 16:30:00,2903.065,3079.504,2.00487012352323
85,0,"Sun",FALSE,36,0,2010-01-03 17:00:00,3040.615,3269.335,1.90462661734706
86,0,"Sun",FALSE,37,-2,2010-01-03 17:30:00,3022.935,3237.125,1.70939528647971
87,0,"Sun",FALSE,38,-1,2010-01-03 18:00:00,3026.145,3135.498,1.57392552215573
88,0,"Sun",FALSE,39,-1,2010-01-03 18:30:00,2953.824,3083.532,1.44522924604794
89,0,"Sun",FALSE,40,-1,2010-01-03 19:00:00,2868.037,2998.749,1.32296778374554
90,0,"Sun",FALSE,41,-1,2010-01-03 19:30:00,2776.945,2859.074,1.20681939455827
91,0,"Sun",FALSE,42,-1,2010-01-03 20:00:00,2641.445,2724.827,1.09647842483035
92,0,"Sun",FALSE,43,-2,2010-01-03 20:30:00,2604.26,2684.966,0.941654503588834
93,0,"Sun",FALSE,44,-2,2010-01-03 21:00:00,2465.482,2558.073,0.794571778409392
94,0,"Sun",FALSE,45,-2,2010-01-03 21:30:00,2308.009,2386.237,0.654843189488923
95,0,"Sun",FALSE,46,-1,2010-01-03 22:00:00,2134.316,2233.846,0.572101030014477
96,0,"Sun",FALSE,47,-2,2010-01-03 22:30:00,1895.665,1988.024,0.443495978513753
97,0.00273972602739726,"Mon",FALSE,0,-1,2010-01-03 23:00:00,1628.826,1855.95,0.371321179588065
98,0.00273972602739726,"Mon",FALSE,1,-1,2010-01-03 23:30:00,1321.781,1583.988,0.302755120608662
99,0.00273972602739726,"Mon",FALSE,2,-1,2010-01-04,1112.034,1303.634,0.237617364578229
100,0.00273972602739726,"Mon",FALSE,3,-1,2010-01-04 00:30:00,922.679,1091.215,0.175736496349317
101,0.00273972602739726,"Mon",FALSE,4,0,2010-01-04 01:00:00,806.81,951.523,0.166949671531851
102,0.00273972602739726,"Mon",FALSE,5,0,2010-01-04 01:30:00,711.525,848.783,0.158602187955259
103,0.00273972602739726,"Mon",FALSE,6,0,2010-01-04 02:00:00,663.121,751.316,0.150672078557496
104,0.00273972602739726,"Mon",FALSE,7,0,2010-01-04 02:30:00,632.676,699.96,0.143138474629621
105,0.00273972602739726,"Mon",FALSE,8,0,2010-01-04 03:00:00,604.106,655.8,0.13598155089814
106,0.00273972602739726,"Mon",FALSE,9,-1,2010-01-04 03:30:00,585.908,634.491,0.079182473353233
107,0.00273972602739726,"Mon",FALSE,10,0,2010-01-04 04:00:00,588.995,609.133,0.0752233496855714
108,0.00273972602739726,"Mon",FALSE,11,0,2010-01-04 04:30:00,588.457,598.353,0.0714621822012928
109,0.00273972602739726,"Mon",FALSE,12,-1,2010-01-04 05:00:00,619.074,590.021,0.0178890730912281
110,0.00273972602739726,"Mon",FALSE,13,-1,2010-01-04 05:30:00,697.135,611.237,-0.0330053805633333
111,0.00273972602739726,"Mon",FALSE,14,-3,2010-01-04 06:00:00,819.926,650.499,-0.181355111535167
112,0.00273972602739726,"Mon",FALSE,15,-4,2010-01-04 06:30:00,982.054,701.598,-0.372287355958408
113,0.00273972602739726,"Mon",FALSE,16,-4,2010-01-04 07:00:00,1126.715,803.263,-0.553672988160488
114,0.00273972602739726,"Mon",FALSE,17,-5,2010-01-04 07:30:00,1250.884,910.567,-0.775989338752463
115,0.00273972602739726,"Mon",FALSE,18,-5,2010-01-04 08:00:00,1325.581,1063,-0.98718987181484
116,0.00273972602739726,"Mon",FALSE,19,-5,2010-01-04 08:30:00,1451.342,1276.174,-1.1878303782241
117,0.00273972602739726,"Mon",FALSE,20,-3,2010-01-04 09:00:00,1573.941,1536.276,-1.27843885931289
118,0.00273972602739726,"Mon",FALSE,21,-2,2010-01-04 09:30:00,1658.171,1722.058,-1.31451691634725
119,0.00273972602739726,"Mon",FALSE,22,-2,2010-01-04 10:00:00,1652.358,1909.141,-1.34879107052989
120,0.00273972602739726,"Mon",FALSE,23,-1,2010-01-04 10:30:00,1744.761,2072.084,-1.33135151700339
121,0.00273972602739726,"Mon",FALSE,24,0,2010-01-04 11:00:00,1782.949,2111.665,-1.26478394115322
122,0.00273972602739726,"Mon",FALSE,25,0,2010-01-04 11:30:00,1889.969,2318.404,-1.20154474409556
123,0.00273972602739726,"Mon",FALSE,26,0,2010-01-04 12:00:00,1949.069,2462.652,-1.14146750689078
124,0.00273972602739726,"Mon",FALSE,27,0,2010-01-04 12:30:00,1968.068,2468.534,-1.08439413154624
125,0.00273972602739726,"Mon",FALSE,28,0,2010-01-04 13:00:00,1936.452,2428.025,-1.03017442496893
126,0.00273972602739726,"Mon",FALSE,29,0,2010-01-04 13:30:00,1898.808,2293.181,-0.978665703720485
127,0.00273972602739726,"Mon",FALSE,30,0,2010-01-04 14:00:00,1824.751,2164.67,-0.929732418534461
128,0.00273972602739726,"Mon",FALSE,31,0,2010-01-04 14:30:00,1828.092,2150.927,-0.883245797607738
129,0.00273972602739726,"Mon",FALSE,32,0,2010-01-04 15:00:00,1915.458,2161.753,-0.839083507727351
130,0.00273972602739726,"Mon",FALSE,33,-1,2010-01-04 15:30:00,2161.761,2319.104,-0.847129332340983
131,0.00273972602739726,"Mon",FALSE,34,-1,2010-01-04 16:00:00,2572.234,2541.746,-0.854772865723934
132,0.00273972602739726,"Mon",FALSE,35,-1,2010-01-04 16:30:00,3037.858,2903.065,-0.862034222437737
133,0.00273972602739726,"Mon",FALSE,36,-1,2010-01-04 17:00:00,3326.539,3040.615,-0.86893251131585
134,0.00273972602739726,"Mon",FALSE,37,0,2010-01-04 17:30:00,3303.593,3022.935,-0.825485885750058
135,0.00273972602739726,"Mon",FALSE,38,0,2010-01-04 18:00:00,3173.824,3026.145,-0.784211591462555
136,0.00273972602739726,"Mon",FALSE,39,0,2010-01-04 18:30:00,3129.025,2953.824,-0.745001011889427
137,0.00273972602739726,"Mon",FALSE,40,0,2010-01-04 19:00:00,3036.796,2868.037,-0.707750961294956
138,0.00273972602739726,"Mon",FALSE,41,0,2010-01-04 19:30:00,2921.949,2776.945,-0.672363413230208
139,0.00273972602739726,"Mon",FALSE,42,0,2010-01-04 20:00:00,2792.979,2641.445,-0.638745242568697
140,0.00273972602739726,"Mon",FALSE,43,0,2010-01-04 20:30:00,2778.804,2604.26,-0.606807980440263
141,0.00273972602739726,"Mon",FALSE,44,0,2010-01-04 21:00:00,2588.994,2465.482,-0.576467581418249
142,0.00273972602739726,"Mon",FALSE,45,0,2010-01-04 21:30:00,2381.164,2308.009,-0.547644202347337
143,0.00273972602739726,"Mon",FALSE,46,0,2010-01-04 22:00:00,2138.968,2134.316,-0.52026199222997
144,0.00273972602739726,"Mon",FALSE,47,0,2010-01-04 22:30:00,2002.085,1895.665,-0.494248892618472
145,0.00547945205479452,"Tue",FALSE,0,0,2010-01-04 23:00:00,1708.97,1628.826,-0.469536447987548
146,0.00547945205479452,"Tue",FALSE,1,0,2010-01-04 23:30:00,1388.306,1321.781,-0.446059625588171
147,0.00547945205479452,"Tue",FALSE,2,0,2010-01-05,1121.268,1112.034,-0.423756644308762
148,0.00547945205479452,"Tue",FALSE,3,0,2010-01-05 00:30:00,921.402,922.679,-0.402568812093324
149,0.00547945205479452,"Tue",FALSE,4,0,2010-01-05 01:00:00,770.631,806.81,-0.382440371488658
150,0.00547945205479452,"Tue",FALSE,5,0,2010-01-05 01:30:00,699.297,711.525,-0.363318352914225
151,0.00547945205479452,"Tue",FALSE,6,0,2010-01-05 02:00:00,659.53,663.121,-0.345152435268513
152,0.00547945205479452,"Tue",FALSE,7,0,2010-01-05 02:30:00,613.278,632.676,-0.327894813505088
153,0.00547945205479452,"Tue",FALSE,8,0,2010-01-05 03:00:00,592.434,604.106,-0.311500072829833
154,0.00547945205479452,"Tue",FALSE,9,0,2010-01-05 03:30:00,583.806,585.908,-0.295925069188342
155,0.00547945205479452,"Tue",FALSE,10,0,2010-01-05 04:00:00,576.372,588.995,-0.281128815728925
156,0.00547945205479452,"Tue",FALSE,11,-1,2010-01-05 04:30:00,588.277,588.457,-0.317072374942478
157,0.00547945205479452,"Tue",FALSE,12,-2,2010-01-05 05:00:00,611.77,619.074,-0.401218756195354
158,0.00547945205479452,"Tue",FALSE,13,-2,2010-01-05 05:30:00,702.629,697.135,-0.481157818385587
159,0.00547945205479452,"Tue",FALSE,14,-2,2010-01-05 06:00:00,823.545,819.926,-0.557099927466307
160,0.00547945205479452,"Tue",FALSE,15,-2,2010-01-05 06:30:00,1016.538,982.054,-0.629244931092992
161,0.00547945205479452,"Tue",FALSE,16,-2,2010-01-05 07:00:00,1155.696,1126.715,-0.697782684538342
162,0.00547945205479452,"Tue",FALSE,17,-3,2010-01-05 07:30:00,1290.754,1250.884,-0.812893550311425
163,0.00547945205479452,"Tue",FALSE,18,-3,2010-01-05 08:00:00,1362.031,1325.581,-0.922248872795854
164,0.00547945205479452,"Tue",FALSE,19,-3,2010-01-05 08:30:00,1443.08,1451.342,-1.02613642915606
165,0.00547945205479452,"Tue",FALSE,20,-3,2010-01-05 09:00:00,1485.69,1573.941,-1.12482960769826
166,0.00547945205479452,"Tue",FALSE,21,-2,2010-01-05 09:30:00,1601.504,1658.171,-1.16858812731335
167,0.00547945205479452,"Tue",FALSE,22,-2,2010-01-05 10:00:00,1648.728,1652.358,-1.21015872094768
168,0.00547945205479452,"Tue",FALSE,23,-1,2010-01-05 10:30:00,1672.702,1744.761,-1.19965078490029
169,0.00547945205479452,"Tue",FALSE,24,-1,2010-01-05 11:00:00,1736.467,1782.949,-1.18966824565528
170,0.00547945205479452,"Tue",FALSE,25,-1,2010-01-05 11:30:00,1800.65,1889.969,-1.18018483337252
171,0.00547945205479452,"Tue",FALSE,26,-1,2010-01-05 12:00:00,1859.5,1949.069,-1.17117559170389
172,0.00547945205479452,"Tue",FALSE,27,0,2010-01-05 12:30:00,1935.451,1968.068,-1.11261681211869
173,0.00547945205479452,"Tue",FALSE,28,0,2010-01-05 13:00:00,1819.788,1936.452,-1.05698597151276
174,0.00547945205479452,"Tue",FALSE,29,0,2010-01-05 13:30:00,1725.573,1898.808,-1.00413667293712
175,0.00547945205479452,"Tue",FALSE,30,0,2010-01-05 14:00:00,1764.503,1824.751,-0.953929839290266
176,0.00547945205479452,"Tue",FALSE,31,0,2010-01-05 14:30:00,1802.357,1828.092,-0.906233347325752
177,0.00547945205479452,"Tue",FALSE,32,0,2010-01-05 15:00:00,1899.517,1915.458,-0.860921679959465
178,0.00547945205479452,"Tue",FALSE,33,-1,2010-01-05 15:30:00,2120.62,2161.761,-0.867875595961492
179,0.00547945205479452,"Tue",FALSE,34,-2,2010-01-05 16:00:00,2548.89,2572.234,-0.924481816163417
180,0.00547945205479452,"Tue",FALSE,35,-3,2010-01-05 16:30:00,2925.407,3037.858,-1.02825772535525
181,0.00547945205479452,"Tue",FALSE,36,-3,2010-01-05 17:00:00,3204.317,3326.539,-1.12684483908748
182,0.00547945205479452,"Tue",FALSE,37,-2,2010-01-05 17:30:00,3192.121,3303.593,-1.17050259713311
183,0.00547945205479452,"Tue",FALSE,38,-2,2010-01-05 18:00:00,2994.698,3173.824,-1.21197746727645
184,0.00547945205479452,"Tue",FALSE,39,-2,2010-01-05 18:30:00,2997.884,3129.025,-1.25137859391263
185,0.00547945205479452,"Tue",FALSE,40,-2,2010-01-05 19:00:00,2941.411,3036.796,-1.288809664217
186,0.00547945205479452,"Tue",FALSE,41,-3,2010-01-05 19:30:00,2923.817,2921.949,-1.37436918100615
187,0.00547945205479452,"Tue",FALSE,42,-2,2010-01-05 20:00:00,2865.549,2792.979,-1.40565072195584
188,0.00547945205479452,"Tue",FALSE,43,-2,2010-01-05 20:30:00,2724.466,2778.804,-1.43536818585805
189,0.00547945205479452,"Tue",FALSE,44,-2,2010-01-05 21:00:00,2569.333,2588.994,-1.46359977656515
190,0.00547945205479452,"Tue",FALSE,45,-1,2010-01-05 21:30:00,2389.917,2381.164,-1.44041978773689
191,0.00547945205479452,"Tue",FALSE,46,-1,2010-01-05 22:00:00,2141.073,2138.968,-1.41839879835005
192,0.00547945205479452,"Tue",FALSE,47,-1,2010-01-05 22:30:00,1965.245,2002.085,-1.39747885843254
193,0.00821917808219178,"Wed",FALSE,0,-1,2010-01-05 23:00:00,1691.609,1708.97,-1.37760491551092
194,0.00821917808219178,"Wed",FALSE,1,0,2010-01-05 23:30:00,1350.541,1388.306,-1.30872466973537
195,0.00821917808219178,"Wed",FALSE,2,-1,2010-01-06,1101.544,1121.268,-1.2932884362486
196,0.00821917808219178,"Wed",FALSE,3,0,2010-01-06 00:30:00,911.756,921.402,-1.22862401443617
197,0.00821917808219178,"Wed",FALSE,4,1,2010-01-06 01:00:00,812.388,770.631,-1.11719281371436
198,0.00821917808219178,"Wed",FALSE,5,1,2010-01-06 01:30:00,693.006,699.297,-1.01133317302864
199,0.00821917808219178,"Wed",FALSE,6,1,2010-01-06 02:00:00,648.983,659.53,-0.910766514377212
200,0.00821917808219178,"Wed",FALSE,7,1,2010-01-06 02:30:00,612.179,613.278,-0.815228188658352
201,0.00821917808219178,"Wed",FALSE,8,1,2010-01-06 03:00:00,589.158,592.434,-0.724466779225434
202,0.00821917808219178,"Wed",FALSE,9,2,2010-01-06 03:30:00,583.019,583.806,-0.588243440264162
203,0.00821917808219178,"Wed",FALSE,10,2,2010-01-06 04:00:00,589.978,576.372,-0.458831268250954
204,0.00821917808219178,"Wed",FALSE,11,2,2010-01-06 04:30:00,590.431,588.277,-0.335889704838407
205,0.00821917808219178,"Wed",FALSE,12,2,2010-01-06 05:00:00,628.431,611.77,-0.219095219596486
206,0.00821917808219178,"Wed",FALSE,13,2,2010-01-06 05:30:00,696.895,702.629,-0.108140458616662
207,0.00821917808219178,"Wed",FALSE,14,2,2010-01-06 06:00:00,820.765,823.545,-0.00273343568582886
208,0.00821917808219178,"Wed",FALSE,15,2,2010-01-06 06:30:00,1034.948,1016.538,0.0974032360984626
209,0.00821917808219178,"Wed",FALSE,16,2,2010-01-06 07:00:00,1193.667,1155.696,0.192533074293539
210,0.00821917808219178,"Wed",FALSE,17,2,2010-01-06 07:30:00,1327.609,1290.754,0.282906420578863
211,0.00821917808219178,"Wed",FALSE,18,0,2010-01-06 08:00:00,1420.043,1362.031,0.268761099549919
212,0.00821917808219178,"Wed",FALSE,19,-1,2010-01-06 08:30:00,1460.924,1443.08,0.205323044572423
213,0.00821917808219178,"Wed",FALSE,20,0,2010-01-06 09:00:00,1516.089,1485.69,0.195056892343802
214,0.00821917808219178,"Wed",FALSE,21,0,2010-01-06 09:30:00,1568.58,1601.504,0.185304047726612
215,0.00821917808219178,"Wed",FALSE,22,0,2010-01-06 10:00:00,1612.603,1648.728,0.176038845340281
216,0.00821917808219178,"Wed",FALSE,23,0,2010-01-06 10:30:00,1680.914,1672.702,0.167236903073267
217,0.00821917808219178,"Wed",FALSE,24,1,2010-01-06 11:00:00,1686.577,1736.467,0.208875057919604
218,0.00821917808219178,"Wed",FALSE,25,1,2010-01-06 11:30:00,1844.569,1800.65,0.248431305023624
219,0.00821917808219178,"Wed",FALSE,26,1,2010-01-06 12:00:00,1990.668,1859.5,0.286009739772443
220,0.00821917808219178,"Wed",FALSE,27,0,2010-01-06 12:30:00,2040.113,1935.451,0.27170925278382
221,0.00821917808219178,"Wed",FALSE,28,0,2010-01-06 13:00:00,1925.309,1819.788,0.258123790144629
222,0.00821917808219178,"Wed",FALSE,29,0,2010-01-06 13:30:00,1867.026,1725.573,0.245217600637398
223,0.00821917808219178,"Wed",FALSE,30,1,2010-01-06 14:00:00,1835.646,1764.503,0.282956720605528
224,0.00821917808219178,"Wed",FALSE,31,1,2010-01-06 14:30:00,1913.045,1802.357,0.318808884575252
225,0.00821917808219178,"Wed",FALSE,32,1,2010-01-06 15:00:00,1952.792,1899.517,0.352868440346489
226,0.00821917808219178,"Wed",FALSE,33,1,2010-01-06 15:30:00,2141.78,2120.62,0.385225018329165
227,0.00821917808219178,"Wed",FALSE,34,1,2010-01-06 16:00:00,2488.468,2548.89,0.415963767412706
228,0.00821917808219178,"Wed",FALSE,35,0,2010-01-06 16:30:00,2923.181,2925.407,0.395165579042071
229,0.00821917808219178,"Wed",FALSE,36,0,2010-01-06 17:00:00,3131.58,3204.317,0.375407300089967
230,0.00821917808219178,"Wed",FALSE,37,-1,2010-01-06 17:30:00,3168.19,3192.121,0.306636935085469
231,0.00821917808219178,"Wed",FALSE,38,-2,2010-01-06 18:00:00,3056.514,2994.698,0.191305088331195
232,0.00821917808219178,"Wed",FALSE,39,-2,2010-01-06 18:30:00,3042.733,2997.884,0.0817398339146357
233,0.00821917808219178,"Wed",FALSE,40,-4,2010-01-06 19:00:00,2963.489,2941.411,-0.122347157781096
234,0.00821917808219178,"Wed",FALSE,41,-3,2010-01-06 19:30:00,2899.674,2923.817,-0.266229799892041
235,0.00821917808219178,"Wed",FALSE,42,-5,2010-01-06 20:00:00,2813.067,2865.549,-0.502918309897439
236,0.00821917808219178,"Wed",FALSE,43,-5,2010-01-06 20:30:00,2690.018,2724.466,-0.727772394402567
237,0.00821917808219178,"Wed",FALSE,44,-5,2010-01-06 21:00:00,2574.752,2569.333,-0.941383774682439
238,0.00821917808219178,"Wed",FALSE,45,-5,2010-01-06 21:30:00,2396.798,2389.917,-1.14431458594832
239,0.00821917808219178,"Wed",FALSE,46,-6,2010-01-06 22:00:00,2145.981,2141.073,-1.3870988566509
240,0.00821917808219178,"Wed",FALSE,47,-6,2010-01-06 22:30:00,1926.543,1965.245,-1.61774391381836
241,0.010958904109589,"Thu",FALSE,0,-7,2010-01-06 23:00:00,1639.715,1691.609,-1.88685671812744
242,0.010958904109589,"Thu",FALSE,1,-6,2010-01-06 23:30:00,1309.239,1350.541,-2.09251388222107
243,0.010958904109589,"Thu",FALSE,2,-7,2010-01-07,1050.969,1101.544,-2.33788818811001
244,0.010958904109589,"Thu",FALSE,3,-6,2010-01-07 00:30:00,894.84,911.756,-2.52099377870451
245,0.010958904109589,"Thu",FALSE,4,-5,2010-01-07 01:00:00,780.889,812.388,-2.64494408976929
246,0.010958904109589,"Thu",FALSE,5,-5,2010-01-07 01:30:00,696.837,693.006,-2.76269688528082
247,0.010958904109589,"Thu",FALSE,6,-5,2010-01-07 02:00:00,648.024,648.983,-2.87456204101678
248,0.010958904109589,"Thu",FALSE,7,-5,2010-01-07 02:30:00,620.979,612.179,-2.98083393896594
249,0.010958904109589,"Thu",FALSE,8,-5,2010-01-07 03:00:00,606.204,589.158,-3.08179224201764
250,0.010958904109589,"Thu",FALSE,9,-5,2010-01-07 03:30:00,597.427,583.019,-3.17770262991676
251,0.010958904109589,"Thu",FALSE,10,-6,2010-01-07 04:00:00,606.202,589.978,-3.31881749842092
252,0.010958904109589,"Thu",FALSE,11,-6,2010-01-07 04:30:00,604.528,590.431,-3.45287662349988
253,0.010958904109589,"Thu",FALSE,12,-6,2010-01-07 05:00:00,646.327,628.431,-3.58023279232488
254,0.010958904109589,"Thu",FALSE,13,-6,2010-01-07 05:30:00,702.317,696.895,-3.70122115270864
255,0.010958904109589,"Thu",FALSE,14,-6,2010-01-07 06:00:00,829.547,820.765,-3.81616009507321
256,0.010958904109589,"Thu",FALSE,15,-6,2010-01-07 06:30:00,1046.332,1034.948,-3.92535209031955
257,0.010958904109589,"Thu",FALSE,16,-6,2010-01-07 07:00:00,1318.837,1193.667,-4.02908448580357
258,0.010958904109589,"Thu",FALSE,17,-5,2010-01-07 07:30:00,1413.237,1327.609,-4.07763026151339
